GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Universal Difference Checker,com.universaldiff.format.json,JsonFormatAdapter,21,48,0,0,5,11,1,5,1,5
Universal Difference Checker,com.universaldiff.format.json,PointerAwareJsonMerger,48,264,12,24,9,59,12,15,1,7
Universal Difference Checker,com.universaldiff.format.json,JacksonTreeJsonNormalizer,6,144,2,12,2,33,2,10,0,5
Universal Difference Checker,com.universaldiff.format.json,PathAwareJsonDiffer,23,210,3,15,2,37,3,10,0,4
Universal Difference Checker,com.universaldiff.core.io,DefaultFileLoader,0,49,0,4,0,10,0,4,0,2
Universal Difference Checker,com.universaldiff.core.io,BomEncodingDetector,0,82,4,16,0,16,4,9,0,3
Universal Difference Checker,com.universaldiff.format.xml,XmlProcessingException,4,5,0,0,2,2,1,1,1,1
Universal Difference Checker,com.universaldiff.format.xml,XmlFormatAdapter,151,534,27,39,33,114,22,27,0,15
Universal Difference Checker,com.universaldiff.format.bin,BinaryFormatAdapter.Range,0,9,0,0,0,1,0,1,0,1
Universal Difference Checker,com.universaldiff.format.bin,BinaryFormatAdapter,92,486,33,56,23,102,28,28,1,9
Universal Difference Checker,com.universaldiff.core.detect,FileTypeDetector.DetectionResult,0,15,0,0,0,6,0,3,0,3
Universal Difference Checker,com.universaldiff.core.detect,DefaultFileTypeDetector,32,242,12,34,8,46,12,18,0,7
Universal Difference Checker,com.universaldiff.format.csv,CsvFormatAdapter,60,713,27,69,11,133,27,35,0,13
Universal Difference Checker,com.universaldiff.format.csv,CsvTable,4,100,2,12,0,19,2,11,0,6
Universal Difference Checker,com.universaldiff.ui.viewmodel,DiffViewModel,98,145,7,7,27,39,8,16,4,13
Universal Difference Checker,com.universaldiff.core,DefaultComparisonService,11,137,1,7,1,26,1,7,0,4
Universal Difference Checker,com.universaldiff.core,ComparisonService,0,57,0,0,0,11,0,2,0,2
Universal Difference Checker,com.universaldiff.format.txt,TxtFormatAdapter.DeltaInfo,0,37,0,0,0,6,0,1,0,1
Universal Difference Checker,com.universaldiff.format.txt,TxtFormatAdapter,58,682,24,59,17,148,23,39,0,17
Universal Difference Checker,com.universaldiff.core.model,MergeChoice,0,34,0,0,0,4,0,1,0,1
Universal Difference Checker,com.universaldiff.core.model,MergeDecision,0,27,0,0,0,8,0,4,0,4
Universal Difference Checker,com.universaldiff.core.model,ComparisonOptions,0,28,0,0,0,9,0,5,0,5
Universal Difference Checker,com.universaldiff.core.model,DiffFragment,6,28,0,2,2,8,2,4,2,3
Universal Difference Checker,com.universaldiff.core.model,ComparisonOptions.Builder,0,25,0,0,0,7,0,4,0,4
Universal Difference Checker,com.universaldiff.core.model,FileDescriptor,0,31,0,2,0,8,0,5,0,4
Universal Difference Checker,com.universaldiff.core.model,MergeResult,0,28,0,2,0,8,0,5,0,4
Universal Difference Checker,com.universaldiff.core.model,ComparisonSession,12,52,0,0,4,10,4,3,4,3
Universal Difference Checker,com.universaldiff.core.model,FormatType,0,184,1,11,0,22,1,9,0,4
Universal Difference Checker,com.universaldiff.core.model,DiffHunk,9,52,0,2,1,11,1,7,1,6
Universal Difference Checker,com.universaldiff.core.model,NormalizedContent.Builder,0,43,0,0,0,12,0,6,0,6
Universal Difference Checker,com.universaldiff.core.model,DiffType,0,44,0,0,0,5,0,1,0,1
Universal Difference Checker,com.universaldiff.core.model,NormalizedContent,3,50,0,4,1,14,1,8,1,6
Universal Difference Checker,com.universaldiff.core.model,DiffResult,4,35,0,2,1,8,1,5,1,4
Universal Difference Checker,com.universaldiff.core.model,DiffSide,0,24,0,0,0,3,0,1,0,1
